accession	species	functional_seqs	pseudogene_seqs	functional_bytes	pseudogene_bytes
GCA_041753875.1	Acanthopagrus schlegelii	430	91	647066	85795
GCA_030684275.1	Acipenser oxyrinchus oxyrinchus	291	246	409380	170826
GCA_902713425.2	Acipenser ruthenus	342	174	487165	119840
GCA_057711955.1	Acrossocheilus kreyenbergii	259	101	390044	89522
GCA_036373705.1	Amia ocellicauda	539	221	780649	186076
GCA_027123335.1	Amphiprion clarkii	160	63	210091	47495
GCA_900324465.3	Anabas testudineus	668	227	851738	174621
GCA_058223795.1	Aplocheilus lineatus	269	46	410381	41051
GCA_054883375.1	Arapaima gigas	363	94	530015	55029
GCA_023375975.1	Astyanax mexicanus	327	78	434985	45741
GCA_049639485.1	Barbodes semifasciolatus	354	92	509911	89370
GCA_936440315.1	Barbus barbus	275	188	420630	155694
GCA_015107555.1	Boulengerochromis microlepis	166	270	216363	180539
GCA_049309305.1	Carassius cuvieri	390	158	534078	119625
GCA_033026475.1	Channa argus	647	154	805538	98284
GCA_051622835.1	Channa maculata	643	156	815003	102433
GCA_902362185.1	Chanos chanos	321	78	378921	58993
GCA_965644535.1	Chelidonichthys lucerna	228	68	271692	44464
GCA_033026305.1	Cirrhinus molitorella	366	102	518890	73165
GCA_904425465.1	Colossoma macropomum	685	257	966864	307663
GCA_020615455.1	Coregonus clupeaformis	219	300	282676	183557
GCA_054643355.1	Coreius guichenoti	266	113	398150	74213
GCA_023566465.1	Cottus gobio	132	48	201264	36374
GCA_965358205.2	Ctenolabrus rupestris	170	72	245124	43331
GCA_040182925.1	Culter alburnus	407	106	549688	74032
GCA_905237075.1	Dicentrarchus labrax	347	106	478508	75305
GCA_963691815.1	Echiichthys vipera	188	46	233575	31064
GCA_041902795.1	Electrophorus electricus	383	101	571641	72273
GCA_037101425.1	Elopichthys bambusa	316	161	439652	77006
GCA_011004845.1	Esox lucius	285	74	332480	40197
GCA_041004005.1	Etroplus suratensis	332	111	425891	84800
GCA_964276395.1	Gasterosteus aculeatus	200	79	252244	48530
GCA_054643165.1	Gymnodiptychus pachycheilus	299	212	439401	185900
GCA_018398535.1	Haplochromis burtoni	204	183	285167	155994
GCA_015105255.1	Haplotaxodon microlepis	151	184	213881	140195
GCA_977109185.2	Hemiculter leucisculus	387	103	533942	79219
GCA_057381835.1	Hexagrammos agrammus	319	88	445969	67122
GCA_056783565.1	Hiodon alosoides	211	69	302792	58030
GCA_037950675.1	Hypophthalmichthys molitrix	340	89	468283	60623
GCA_037950665.1	Hypophthalmichthys nobilis	346	119	473568	109951
GCA_050306495.1	Hyporhamphus sajori	261	104	315999	49536
GCA_056152105.1	Julidochromis regani	325	142	465534	122487
GCA_041053085.1	Katsuwonus pelamis	231	59	294294	47961
GCA_022985175.1	Labeo rohita	355	139	473155	107169
